date,strategy_equity
2015-01-15,110000.0
2015-01-18,110000.0
2015-01-19,110000.0
2015-01-20,110000.0
2015-01-21,110000.0
2015-01-22,110000.0
2015-01-26,110000.0
2015-01-27,110000.0
2015-01-28,110000.0
2015-01-29,110000.0
2015-02-01,120000.0
2015-02-02,120000.0
2015-02-03,120000.0
2015-02-04,120000.0
2015-02-05,120000.0
2015-02-08,120000.0
2015-02-09,120000.0
2015-02-10,120000.0
2015-02-11,120000.0
2015-02-12,120000.0
2015-02-15,120000.0
2015-02-16,120000.0
2015-02-17,120000.0
2015-02-18,120000.0
2015-02-19,120000.0
2015-02-22,120000.0
2015-02-23,120000.0
2015-02-24,120000.0
2015-02-25,120000.0
2015-02-26,120000.0
2015-03-01,130000.0
2015-03-02,130000.0
2015-03-03,130000.0
2015-03-04,130000.0
2015-03-05,130000.0
2015-03-08,130000.0
2015-03-09,130000.0
2015-03-10,130000.0
2015-03-11,130000.0
2015-03-12,130000.0
2015-03-15,130000.0
2015-03-16,130000.0
2015-03-17,130000.0
2015-03-18,130000.0
2015-03-19,130000.0
2015-03-22,130000.0
2015-03-23,130000.0
2015-03-24,130000.0
2015-03-25,130000.0
2015-03-26,130000.0
2015-03-30,130000.0
2015-03-31,130000.0
2015-04-01,140000.0
2015-04-02,140000.0
2015-04-05,140000.0
2015-04-06,140000.0
2015-04-07,140000.0
2015-04-08,140000.0
2015-04-09,140000.0
2015-04-14,140000.0
2015-04-15,140000.0
2015-04-16,140000.0
2015-04-19,140000.0
2015-04-20,140000.0
2015-04-22,140000.0
2015-04-23,140000.0
2015-04-26,140000.0
2015-04-27,140000.0
2015-04-28,140000.0
2015-04-29,140000.0
2015-04-30,140000.0
2015-05-03,150000.0
2015-05-04,150000.0
2015-05-05,150000.0
2015-05-07,150000.0
2015-05-11,150000.0
2015-05-12,150000.0
2015-05-13,150000.0
2015-05-14,150000.0
2015-05-17,150000.0
2015-05-18,150000.0
2015-05-19,150000.0
2015-05-20,150000.0
2015-05-21,150000.0
2015-05-24,150000.0
2015-05-25,150000.0
2015-05-27,150000.0
2015-05-28,150000.0
2015-06-01,160000.0
2015-06-02,160000.0
2015-06-03,160000.0
2015-06-04,160000.0
2015-06-08,160000.0
2015-06-09,160000.0
2015-06-11,160000.0
2015-06-15,160000.0
2015-06-16,160000.0
2015-06-17,160000.0
2015-06-21,160000.0
2015-06-23,160000.0
2015-06-24,160000.0
2015-06-25,160000.0
2015-06-29,160000.0
2015-07-02,170000.0
2015-07-05,170000.0
2015-07-06,170000.0
2015-07-07,170000.0
2015-07-08,170000.0
2015-07-09,170000.0
2015-07-12,170000.0
